epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.68328,1.03765,2.59414,1.23242,0.56607,0.85,0.87816,0.63499,1.65875,1.06267,1.38261,0,0,0
2,3.54483,1.02506,3.6482,1.45021,0.56331,0.85,0.88864,0.6374,1.68041,1.05938,1.38864,1.1311e-06,1.1311e-06,1.1311e-06
3,5.26399,1.16523,3.48051,1.37257,0.57097,0.85,0.85546,0.62172,1.6891,1.06067,1.39005,2.14438e-06,2.14438e-06,2.14438e-06
4,6.78394,1.1433,2.84304,1.37695,0.60749,0.92602,0.90519,0.64286,1.67633,1.05718,1.37358,3.03986e-06,3.03986e-06,3.03986e-06
5,8.12636,1.20546,2.12367,1.72129,0.5492,0.85,0.85669,0.63618,1.6658,1.05749,1.36564,3.81752e-06,3.81752e-06,3.81752e-06
6,9.61277,1.16277,2.55098,1.5381,0.5483,0.86233,0.87223,0.62843,1.66696,1.0653,1.3658,4.47737e-06,4.47737e-06,4.47737e-06
7,11.0421,1.30539,2.55081,1.58299,0.55333,0.86585,0.8846,0.62962,1.66189,1.06417,1.36104,5.01942e-06,5.01942e-06,5.01942e-06
8,12.6071,1.1921,2.44868,1.62921,0.53476,0.86667,0.89452,0.63065,1.65147,1.05532,1.35527,5.44365e-06,5.44365e-06,5.44365e-06
9,14.1811,1.23141,3.25785,1.44107,0.52711,0.86667,0.89445,0.63226,1.65126,1.05743,1.3522,5.75008e-06,5.75008e-06,5.75008e-06
10,15.8214,1.13573,2.48898,1.40543,0.55209,0.86667,0.89442,0.63258,1.64295,1.05383,1.34796,5.9387e-06,5.9387e-06,5.9387e-06
11,17.5657,0.7388,1.38884,1.10156,0.62988,0.93777,0.90815,0.63346,1.63678,1.05102,1.34458,6.0095e-06,6.0095e-06,6.0095e-06
12,19.1648,1.07098,1.85968,1.5382,0.64079,0.93679,0.90945,0.63436,1.62958,1.05477,1.34179,5.9625e-06,5.9625e-06,5.9625e-06
13,20.5964,0.998,1.52983,1.34626,0.63944,0.93647,0.90956,0.63504,1.62236,1.06422,1.33894,5.79768e-06,5.79768e-06,5.79768e-06
14,22.2203,1.00673,1.68731,1.40178,0.59624,0.86667,0.85985,0.64143,1.60656,1.07252,1.32798,5.51505e-06,5.51505e-06,5.51505e-06
15,23.7176,1.08422,1.66992,1.31488,0.60806,0.86667,0.8614,0.64214,1.57485,1.06264,1.31529,5.11462e-06,5.11462e-06,5.11462e-06
16,25.1918,0.95979,1.29709,1.23438,0.62803,0.86616,0.86376,0.641,1.55665,1.05189,1.30423,4.59638e-06,4.59638e-06,4.59638e-06
17,26.6859,0.85258,1.56823,1.35602,0.63079,0.86509,0.86393,0.64208,1.54291,1.05383,1.30205,3.96032e-06,3.96032e-06,3.96032e-06
18,28.1593,0.91126,1.88192,1.37492,0.63079,0.86509,0.86393,0.64208,1.54291,1.05383,1.30205,3.20646e-06,3.20646e-06,3.20646e-06
19,29.7326,0.78547,1.09765,1.14105,0.6128,0.85,0.85659,0.63902,1.54984,1.07534,1.30812,2.33478e-06,2.33478e-06,2.33478e-06
20,31.4246,0.90618,1.26333,1.21624,0.6128,0.85,0.85659,0.63902,1.54984,1.07534,1.30812,1.3453e-06,1.3453e-06,1.3453e-06
